exp,event,branch,pipeline
1.51,0,second,ref
1.31,0,second,js
1.31,0,second,sm
1.31,0,second,js
0.76,1,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,ref
1.15,0,second,js
1.08,0,second,js
1.08,0,second,js
1.08,0,second,ref
1.08,0,second,cs
0.92,0,second,sm
0.89,0,second,js
0.89,0,second,js
0.89,0,second,ref
0.82,0,second,js
0.82,0,second,js
0.82,0,second,js
0.82,0,second,js
0.79,0,second,js
0.79,0,second,js
0.79,0,second,js
0.79,0,second,ref
0.79,0,second,js
0.79,0,second,js
0.79,0,second,js
0.66,0,second,js
0.66,0,second,js
0.66,0,second,js
0.66,0,second,ref
0.66,0,second,js
0.66,0,second,ref
0.66,0,second,js
0.62,0,second,js
0.62,0,second,cs
0.62,0,second,js
0.62,0,second,ref
0.62,0,second,js
0.39,1,second,js
0.49,1,second,ref
0.39,0,second,js
0.36,0,second,cs
0.23,0,second,js
0.13,0,second,js
4.90,1,fourth,js
5.72,1,fourth,js
2.10,1,fourth,sm
4.50,1,fourth,js
8.94,1,fourth,ref
2.92,1,fourth,sm
1.02,1,fourth,js
8.87,1,fourth,js
3.02,1,fourth,ref
1.97,1,fourth,js
12.88,0,fourth,js
12.29,0,fourth,ea
0.62,1,fourth,ea
1.74,1,fourth,ref
0.23,1,fourth,js
1.25,1,fourth,js
9.20,1,fourth,js
3.29,1,fourth,ea
2.53,1,fourth,sm
6.70,1,fourth,ea
10.81,0,fourth,ea
0.82,1,fourth,js
6.37,1,fourth,ref
9.13,1,fourth,ea
1.15,1,fourth,ea
1.18,1,fourth,js
6.44,1,fourth,js
9.86,0,fourth,js
9.82,0,fourth,ref
9.40,0,fourth,ref
4.47,1,fourth,ref
1.77,1,fourth,js
2.07,1,fourth,js
2.83,1,fourth,js
1.71,1,fourth,js
8.44,0,fourth,js
8.44,0,fourth,js
2.14,1,fourth,sm
4.50,1,fourth,js
8.02,0,fourth,js
7.92,0,fourth,ea
2.73,1,fourth,sm
4.47,1,fourth,sm
7.69,0,fourth,ea
7.69,0,fourth,ea
2.04,1,fourth,js
1.48,1,fourth,js
4.67,1,fourth,js
7.23,0,fourth,ea
1.12,1,fourth,js
0.13,1,fourth,js
1.97,1,fourth,js
5.42,1,fourth,js
0.72,1,fourth,sm
5.42,1,fourth,sm
7.00,0,fourth,js
7.00,0,fourth,js
6.90,0,fourth,js
6.90,0,fourth,js
6.90,0,fourth,js
5.19,1,fourth,js
6.87,0,fourth,js
6.87,0,fourth,js
6.87,0,fourth,js
6.87,0,fourth,js
0.56,1,fourth,js
0.56,1,fourth,ref
2.73,1,fourth,js
3.71,1,fourth,js
6.70,1,fourth,js
6.83,0,fourth,js
6.80,0,fourth,js
6.80,0,fourth,ref
6.67,0,fourth,js
6.67,0,fourth,js
6.67,0,fourth,js
6.67,0,fourth,js
6.67,0,fourth,ref
5.65,1,fourth,ref
6.64,0,fourth,js
6.57,0,fourth,sm
6.44,0,fourth,js
6.44,0,fourth,js
6.34,0,fourth,js
3.68,1,fourth,js
3.84,1,fourth,js
6.31,0,fourth,js
6.31,0,fourth,js
6.31,0,fourth,js
0.20,1,fourth,js
3.68,1,fourth,ref
0.23,1,fourth,js
1.18,1,fourth,js
0.79,1,fourth,js
1.87,1,fourth,js
2.50,1,fourth,cs
2.66,1,fourth,js
1.31,1,fourth,js
5.98,0,fourth,js
5.98,0,fourth,ref
5.98,0,fourth,ea
5.98,0,fourth,ref
5.98,0,fourth,js
0.26,1,fourth,ref
2.66,1,fourth,js
0.92,1,fourth,js
2.37,1,fourth,js
